,Alemão,Português
6820,nägel,unhas
6821,ausgefallen,gostar
6822,glen,vale estreito
6823,yes,sim
6824,verstorbenen,morto
6825,verkleidet,vestido
6826,entdeckung,descoberta
6827,rauche,fumante
6828,betteln,implorar
6829,blond,loiro
6830,cam,laranjas
6831,gilbert,Gilbert
6832,burt,Burt
6833,weggegangen,perdido
6834,nutze,usar
6835,gütiger,gentilmente
6836,abgebrochen,cancelado
6837,herkunft,origem
6838,annahme,adoção
6839,wirfst,lançar
6840,gestank,fedor
6841,hintertür,porta dos fundos
6842,truthahn,Peru
6843,gefüllt,preenchido
6844,bereithalten,manter pronto
6845,vorhat,pretende
6846,eleanor,Eleanor
6847,touristen,turistas
6848,fordere,chamar
6849,tagsüber,durante o dia
6850,feucht,molhado
6851,jeans,jeans
6852,befragung,enquete
6853,abgelaufen,expirado
6854,picard,Picard
6855,fu,fu
6856,wunderbarer,Maravilhoso
6857,depp,depp
6858,hüte,Guarda
6859,israel,Israel
6860,ausschau,Ausschau
6861,kreischt,gritos
6862,bellen,discar
6863,manipulieren,manipular
6864,studie,estude
6865,heinrich,Heinrich
6866,knurren,Knurren
6867,busch,Busch
6868,abwesenheit,ausência
6869,reitet,montaram
6870,komplizierter,complicado
6871,traut,familiar
6872,bestellung,Ordem
6873,tatsachen,fatos
6874,heiligkeit,santidade
6875,back,voltar
6876,jahrhunderts,século
6877,verglichen,comparado
6878,sehnsucht,nostalgia
6879,überredet,persuadido
6880,demokratie,democracia
6881,ranger,guarda-florestal
6882,empfehle,recomendar
6883,schalt,comutação
6884,gevögelt,Shagged
6885,young,jovem
6886,ra,Fora
6887,silver,prata
6888,kräften,forças
6889,rauszukommen,saia
6890,schäden,dano
6891,aggressiv,agressivo
6892,ausleihen,emprestar
6893,bella,bonito
6894,schlucken,a andorinha
6895,wesentlich,essencial
6896,ca.,que.
6897,satan,satã
6898,erben,herdar
6899,police,polícia
6900,horn,buzina
6901,lebende,vivo
6902,schmutzige,sujo
6903,eiskalt,congelando
6904,sirene,sirenes
6905,birthday,aniversário
6906,ritual,ritual
6907,ira,vamos para
6908,pflanze,plantar
6909,stürzt,crashes
6910,reynolds,Reynolds
6911,investiert,Investido
6912,bernie,Bernie
6913,marilyn,Marilyn
6914,formen,a forma
6915,freundchen,Buster
6916,politischen,político
6917,freigelassen,liberado
6918,lionel,lionel
6919,rausgeworfen,expulso
6920,verprügeln,espancaram
6921,bescheiden,modesto
6922,garderobe,guarda roupa
6923,streifen,à risca
6924,rausgekommen,saiu
6925,jodi,Jodi
6926,voneinander,a partir de uma outra
6927,wirt,hospedeiro
6928,kasten,caixa
6929,zeichnen,desenhar
6930,backen,assar
6931,scheitern,falhou
6932,francs,francos
6933,jon,jon
6934,salon,sala de estar
6935,medikament,medicamento
6936,demnächst,em breve
6937,geboten,necessário
6938,spike,Espinho
6939,auslösen,desencadear
6940,pferden,cavalos
6941,lebensmittel,Comida
6942,ruhiger,quieto
6943,durchsuchungsbefehl,mandato de busca
6944,allmählich,gradualmente
6945,benommen,atordoado
6946,adieu,despedida
6947,fragten,frete
6948,vortrag,palestra
6949,amerikas,americano
6950,sherry,xerez
6951,och,e
6952,oui,sim
6953,erpressen,chantagem
6954,flittchen,petulante
6955,zähnen,dente
6956,u-boot,u-boat
6957,daniels,Daniels
6958,endete,terminou
6959,ängstlich,assustado
6960,she,ela
6961,as,como
6962,durchbruch,avanço
6963,dorothy,dorothy
6964,wiederhaben,ter novamente
6965,schrecklicher,Terrível
6966,model,modelo
6967,besitze,ter
6968,sorg,tristeza
6969,sophia,Sofia
6970,sullivan,Sullivan
6971,chor,Coro
6972,zuschlagen,batida
6973,schere,tesoura
6974,kampagne,campanha
6975,jax,jax
6976,verrücktes,louco
6977,gestartet,começado
6978,reinigen,limpar
6979,stoppt,paradas
6980,lucky,afortunado
6981,quälen,tormento
6982,berufung,vocação
6983,luis,Luis
6984,knöchel,tornozelo
6985,zeitplan,Horário
6986,zerbrochen,quebrado
6987,verfluchter,amaldiçoado
6988,weichei,weichei
6989,jegliche,nenhum
6990,versuchung,tentação
6991,shelby,Shelby
6992,beitrag,contribuição
6993,picknick,piquenique
6994,argument,argumento
6995,reiner,puro
6996,flüstern,sussurar
6997,dummheiten,tolice
6998,meile,para nós
6999,hamburger,Hamburger
7000,kontaktiert,contactado
7001,spione,espiões
7002,fähnrich,bandeira
7003,erinnerte,lembrou
7004,türklingel,türklingel
7005,henri,henry
7006,dynamit,dinamite
7007,organe,órgão
7008,fell,caiu
7009,sonnenschein,brilho do sol
7010,archie,Archie
7011,lache,solto
7012,elisabeth,Elisabeth
7013,aufgelegt,desligar
7014,bräutigam,noivo
7015,chinesische,chinês
7016,monats,mês
7017,shakespeare,shakespeare
7018,verrät,revela
7019,drunter,debaixo de
7020,schottland,Escócia
7021,drohung,ameaça
7022,wa,wa
7023,wende,vez
7024,gefoltert,torturada
7025,erwachsener,adulto
7026,einzigartig,único
7027,briten,britânico
7028,profis,profissionais
7029,mon,minha
7030,übertreiben,exagerar
7031,ressourcen,Recursos
7032,bischof,bispo
7033,nationale,nacional
7034,ausstehen,ficar
7035,geschwister,irmãos e irmãs
7036,mountain,montanha
7037,zurücktreten,passo para trás
7038,avery,Avery
7039,roberts,Roberts
7040,axt,Axt
7041,hugh,hugh
7042,händler,distribuidor
7043,ägypten,Egito
7044,überdenken,repensar
7045,ludwig,Ludwig
7046,fiona,fiona
7047,warme,quente
7048,joel,joel
7049,konzentrier,concentrando
7050,del,de
7051,dampf,vapor
7052,missbraucht,abusado
7053,loyal,fiel
7054,wurzeln,raiz
7055,aufhängen,pendurado
7056,wurm,verme
7057,kathy,Kathy
7058,kerze,vela
7059,bereue,arrepender
7060,loslegen,começando
7061,o.k.,OK.
7062,fingen,começado
7063,besatzung,equipe técnica
7064,dog,cão
7065,klüger,mais esperto
7066,zugestoßen,ocorrido
7067,befürchten,temer
7068,folgende,Os seguintes
7069,schmerzhaft,doloroso
7070,jody,jody
7071,beschrieben,descrito
7072,zittern,tremer
7073,standpunkt,posição
7074,visier,viseira
7075,rang,tocou
7076,phoenix,Fénix
7077,wesley,wesley
7078,herausfindet,achados
7079,schaute,visto
7080,theoretisch,teoricamente
7081,if,E se
7082,chan,chan
7083,beutel,Bolsa
7084,drängen,Aperte
7085,schlimmen,mau
7086,klient,cliente
7087,hängst,pendurar
7088,veranda,varanda
7089,pam,pam
7090,jüngste,mais jovem
7091,strahlung,radiação
7092,betrügt,trapaceando
7093,unendlich,infinitamente
7094,gedichte,poesia
7095,sven,especulador
7096,irene,irene
7097,gereist,viajei
7098,schiss,funk
7099,benimmst,comporte-se
7100,schwangerschaft,gravidez
7101,subcentral,subcentral
7102,kopien,cópias
7103,infrage,questionou
7104,zweifeln,dúvida
7105,nonne,avós
7106,müsse,deve
7107,juliette,juliet
7108,richtet,Directed
7109,lecken,lamber
7110,feuerwerk,Fogos de artifício
7111,neueste,Mais recentes
7112,geistes,humanidades
7113,verletzten,ferido
7114,abwechslung,variedade
7115,ausgeführt,realizado
7116,kleingeld,pequena mudança
7117,evans,evans
7118,gelegentlich,ocasionalmente
7119,denise,denise
7120,braten,carne assada
7121,angelegt,criado
7122,artie,artie
7123,corporal,corpóreo
7124,entsteht,criado
7125,rogers,Rogers
7126,herzschlag,Batimento cardiaco
7127,glücklicherweise,Felizmente
7128,heilung,cura
7129,cäsar,César
7130,angeklagten,acusado
7131,profit,lucro
7132,brüllen,rugido
7133,verschieden,diferente
7134,münzen,moeda
7135,hinterlässt,folhas
7136,königlichen,real
7137,stadtrat,Câmara Municipal
7138,pressekonferenz,conferência de imprensa
7139,nich,eles
7140,geschaut,visto
7141,zugegeben,adicionado
7142,end,fim
7143,komisches,impar
7144,regie,direção
7145,merk,Marca
7146,boote,barcos
7147,verbrennt,queimaduras
7148,allergisch,alérgico
7149,schweizer,suíço
7150,verdächtiger,suspeito
7151,gasse,beco
7152,tussi,tussi
7153,befürchtet,temido
7154,reite,andar de
7155,außerirdische,estrangeiro
7156,ehemaliger,antigo
7157,radar,radar
7158,gestattet,permite
7159,gefecht,batalha
7160,angeschaut,assistiu
7161,gedient,servido
7162,pension,pensão
7163,strich,acidente vascular encefálico
7164,lippenstift,batom
7165,stab,facada
7166,außerirdischen,estrangeiro
7167,termine,prazo
7168,maler,pintor
7169,verweigert,negado
7170,boxer,boxer
7171,vorteile,benefícios
7172,ausstellung,exibição
7173,tragisch,trágico
7174,rasch,rapidamente
7175,oberste,topo
7176,polizistin,policial
7177,windeln,fraldas
7178,detroit,detroit
7179,arizona,arizona
7180,universums,universo
7181,aufheben,cancelar
7182,narben,cicatriz
7183,fleißig,diligente
7184,freizeit,lazer
7185,elegant,elegante
7186,dolch,punhal
7187,sloan,Sloan
7188,eindringen,penetração
7189,auszeit,tempo esgotado
7190,internationalen,internacional
7191,fielen,caiu
7192,weggeworfen,jogar fora
7193,vergeuden,desperdício
7194,blätter,folhas
7195,blass,Blass
7196,konzept,conceito
7197,look,olhar
7198,keineswegs,de jeito nenhum
7199,faden,fio
7200,kleinste,ao menos
7201,geschrien,Gritou
7202,ertrunken,afogado
7203,blase,bexiga
7204,treffpunkt,ponto de encontro
7205,schrift,Fonte
7206,mathe,mathe
7207,royal,real
7208,evelyn,evelyn
7209,britische,britânico
7210,körperlich,fisicamente
7211,konzentration,concentração
7212,schaltet,comuta
7213,draht,Escuta
7214,at,no
7215,älteste,mais velho
7216,höhere,superior
7217,gerannt,pedestres
7218,tower,torre
7219,gedrückt,depressivo
7220,reinigung,limpeza
7221,fordert,impulsos
7222,ideale,ideal
7223,stiehlt,rouba
7224,money,dinheiro
7225,eiern,oscilação
7226,dritter,terceiro
7227,züge,trens
7228,optionen,opções
7229,ge,dar
7230,roland,roland
7231,ersticken,sufocar
7232,farmer,agricultor
7233,batterie,bateria
7234,obst,fruta
7235,badewanne,banheira
7236,manches,mangas
7237,droge,seco
7238,übertragung,transmissão
7239,enge,fechar
7240,nickerchen,sesta
7241,juhu,Sul
7242,cora,cora
7243,lungen,pagamentos
7244,öffnete,aberto
7245,abschneiden,cortar
7246,valentine,namorados
7247,hierbei,nessa conexão
7248,sorgst,preocupação
7249,phillip,Phillip
7250,schaffte,gerenciou
7251,omar,omar
7252,anfänger,Principiante
7253,gen,gen
7254,ungerecht,injustamente
7255,reue,contrição
7256,two,dois
7257,rhythmus,ritmo
7258,kündige,anunciar
7259,mitgehen,acompanhar
7260,siegel,Siegel
7261,moore,moore
7262,stechen,picada
7263,baue,Construir
7264,prostituierte,prostituta
7265,heller,em vez
7266,umgehend,imediatamente
7267,hoffnungslos,sem esperança
7268,checken,Verifica
7269,drücke,Aperte
7270,wong,wong
7271,merkwürdige,estranho
7272,valley,vale
7273,brandy,conhaque
7274,gelbe,amarelo
7275,nützen,beneficiar
7276,venedig,Veneza
7277,gideon,Gideon
7278,lernten,aprendido
7279,benimmt,comporte-se
7280,georg,Georg
7281,mächtiger,poderoso
7282,genutzt,usava
7283,verzieh,perdoado
7284,schüssel,tigela
7285,dreckigen,sujo
7286,wiegt,pesa
7287,kg,kg
7288,abraham,abraham
7289,seltsamer,estranho
7290,hiervon,deste instrumento
7291,beraten,Para aconselhar
7292,schienen,rails
7293,wirkliche,real
7294,träumt,sonhos
7295,versprech,promessa
7296,ideal,ideal
7297,norma,regra
7298,sire,pai
7299,marschieren,Março
7300,mitbewohner,companheiro de quarto
7301,verlobung,noivado
7302,mio.,minha.
7303,funken,fagulha
7304,gleichfalls,da mesma maneira
7305,geringsten,menor
7306,empfange,receber
7307,führten,liderado
7308,ex-frau,ex-frau
7309,gelben,amarelo
7310,lach,riso
7311,vereinbart,acordado
7312,kimmy,kimmy
7313,prügel,espancamento
7314,läuten,anel
7315,anzugreifen,ataque
7316,balkon,sacada
7317,fran,fran
7318,flüchten,fugir
7319,umkehren,voltar atrás
7320,ansieht,olhar
7321,rechtfertigen,justificar
7322,belügen,mentira
7323,verdächtigt,suspeita
7324,begannen,começado
7325,snow,neve
7326,oskar,Oskar
7327,englischen,inglês
7328,inspiriert,inspirado
7329,murray,murray
7330,shirt,camisa
7331,erlaube,permitir
7332,ertrinken,afogar
7333,sorgfältig,cuidadoso
7334,spuck,Spuck
7335,eingetroffen,chegado
7336,chang,chang
7337,lynette,lynette
7338,feine,multar
7339,home,casa
7340,grosse,grande
7341,schickten,enviado
7342,überreste,permanece
7343,how,quão
7344,garantiere,garantia
7345,unerträglich,insuportável
7346,vorerst,por enquanto
7347,yale,Yale
7348,verirrt,perdido
7349,überstanden,sobreviveram
7350,harriet,Harriet
7351,liga,liga
7352,wertlos,inútil
7353,marvin,Marvin
7354,gottverdammt,Maldito
7355,gesammelt,coletada
7356,kanntest,sabia
7357,bezeichnet,designado
7358,beantworte,responda
7359,baltimore,Baltimore
7360,shirley,Shirley
7361,connie,Connie
7362,netzwerk,rede
7363,moses,Moisés
7364,entstehen,surgir
7365,ingalls,Ingalls
7366,lauten,anel
7367,fasziniert,Encantado
7368,tv4user,tv4user
7369,ehrliche,honestamente
7370,akademie,Academia
7371,grünes,verde
7372,branche,o negócio
7373,rudy,Rudy
7374,soße,molho
7375,situationen,situação
7376,entführer,Sequestrador
7377,ewigen,eterno
7378,erzeugt,gerado
7379,fünften,quinto
7380,dtv,dtv
7381,registriert,registrado
7382,basketball,basquetebol
7383,abgesetzt,interrompido
7384,irgendwelchen,nenhum
7385,vorsitzender,presidente
7386,bedürfnisse,precisa
7387,suite,depois de
7388,mhm-hm,mhm-hm
7389,regieren,governo
7390,barkeeper,botequineiro
7391,ausgemacht,desligado
7392,fritz,fritz
7393,dateien,arquivos
7394,dixon,Dixon
7395,gegründet,fundado
7396,wolke,nuvem
7397,wall,parede
7398,umgang,tratamento
7399,schenk,Presente
7400,festen,empresa
7401,erziehung,Educação
7402,agentin,agente
7403,marines,fuzileiros navais
7404,hasen,coelhos
7405,institut,instituto
7406,mittleren,meio
7407,hingerichtet,executado
7408,lenken,ligação
7409,angewiesen,confiante
7410,überlebende,sobrevivente
7411,bass,baixo
7412,pearl,pérola
7413,lahm,muito ruim
7414,basiert,é baseado
7415,rasieren,barbear
7416,angeordnet,disposto
7417,gewalttätig,violento
7418,untergang,queda
7419,flach,plano
7420,autogramm,autógrafo
7421,schwule,homossexual
7422,kompanie,companhia
7423,casino,cassino
7424,solches,tal
7425,sackgasse,fim da linha
7426,einbrecher,arrombador
7427,stehenbleiben,Pare
7428,erwartungen,expectativas
7429,flüssigkeit,líquido
7430,erraten,adivinhar
7431,verkaufst,vender
7432,vorsprung,começar na frente
7433,zahlst,pagar
7434,verkäufer,Vendedor
7435,zukommen,obter
7436,abdrücke,pegadas
7437,kurve,Curva
7438,kämpfst,lutar
7439,les,a
7440,verziehen,urdidura
7441,invasion,invasão
7442,pissen,xixi
7443,klarer,falhou
7444,herrschen,governar
7445,prince,Principe
7446,zylonen,Cylons
7447,donnie,Donnie
7448,giles,Giles
7449,outfit,roupa
7450,prinzipien,princípio
7451,rühr,mexer
7452,entzückend,encantador
7453,reinen,puro
7454,drecksack,drecksack
7455,frischen,fresco
7456,corabeth,corabeth
7457,höhepunkt,Clímax
7458,elsa,Elsa
7459,geduldig,pacientemente
7460,rio,rio
7461,pest,praga
7462,wenigsten,ao menos
7463,beschwert,reclama
7464,natürliche,natural
7465,erzeugen,produzir
7466,fürchterlich,terrivelmente
7467,veröffentlichen,publicar
7468,tv4user.de,tv4user.de
7469,wunderbares,Maravilhoso
7470,isaac,isaac
7471,unglücklicherweise,Infelizmente
7472,ratschläge,conselhos
7473,erstickt,abafada
7474,vagina,vagina
7475,scharfe,afiado
7476,nutten,donas de casa
7477,äpfel,maçãs
7478,zoll,polegada
7479,region,região
7480,zuliebe,interesse
7481,riefen,chorou
7482,wachmann,segurança
7483,gipfel,cume
7484,geübt,praticado
7485,d.j.,D.J.
7486,jammer,Infelizmente
7487,lädt,convida
7488,galerie,galeria
7489,enkelin,neta
7490,mönch,monge
7491,tinte,tinta
7492,journalist,jornalista
7493,glückspilz,pessoa de sorte
7494,platzen,explodido
7495,ego,eu
7496,reinste,mais pura
7497,news,notícia
7498,aspirin,aspirina
7499,right,direita
7500,andre,segundo
7501,früchte,fruta
7502,bart.,Bart.
7503,gewähren,conceder
7504,prophezeiung,profecia
7505,winzig,pequeno
7506,light,claro
7507,tonnen,toneladas métricas
7508,lizenz,licença
7509,maßnahmen,Atividades
7510,ermittelt,determinado
7511,stufen,estágios
7512,w,no
7513,joy,alegria
7514,lüg,mentira
7515,who,quem
7516,student,aluna
7517,absetzen,solta
7518,schwindel,tontura
7519,national,nacional
7520,fanny,paspalhão
7521,vorgeschlagen,proposto
7522,arbeitslos,desempregado
7523,borg,cidade
7524,getränke,bebidas
7525,ick,ick
7526,joyce,Joyce
7527,änderte,mudado
7528,philadelphia,Filadélfia
7529,pfoten,patas
7530,ausländer,estrangeiros
7531,häng,Pingente
7532,clyde,Clyde
7533,kalender,calendário
7534,isabelle,Isabelle
7535,hannibal,canibal
7536,brüdern,irmãos
7537,überstunden,ao longo do tempo
7538,angehört,pertence
7539,langweilen,entediar
7540,deutet,indicado
7541,griffin,griffin
7542,friseur,estilista de cabelo
7543,oberen,topo
7544,fertigmachen,prepare-se
7545,they,elas
7546,teure,caro
7547,silas,silas
7548,gedroht,ameaçado
7549,ana,mãe
7550,ermordung,assassinato
7551,maura,maura
7552,komischen,quadrinho
7553,bestimmtes,específico
7554,diskret,discreto
7555,kriechen,rastejar
7556,weißes,Branco
7557,luthor,Luthor
7558,hinüber,sobre
7559,zauberei,feitiçaria
7560,wünschst,quer
7561,nadia,Nadia
7562,biss,só
7563,komischer,estranhamente
7564,hotelzimmer,Quarto de hotel
7565,delta,delta
7566,chinesischen,chinês
7567,beängstigend,assustador
7568,hills,Colinas
7569,quentin,Quentin
7570,frequenz,frequência
7571,vorhast,pretender
7572,tödliche,mortal
7573,summer,verão
7574,verband,curativo
7575,gebucht,reservado
7576,investieren,investir
7577,website,local na rede Internet
7578,diät,dieta
7579,benimm,comporte-se
7580,vergangenen,passado
7581,rodney,Rodney
7582,verbringe,gasta
7583,zukünftige,futuro
7584,kong,kong
7585,ehemalige,antigo
7586,ch00ff00,ch00ff00
7587,aufklären,iluminar
7588,kämen,seria
7589,unauffällig,imperceptível
7590,gefälscht,falso
7591,geier,abutre
7592,anschuldigungen,acusações
7593,sal,deve
7594,restlichen,remanescente
7595,tomaten,tomates
7596,gonna,vai
7597,philosophie,filosofia
7598,liebten,amavam
7599,programmiert,programado
7600,shawn,Shawn
7601,festgestellt,detectou
7602,fällig,devido
7603,kneipe,bar
7604,bezahlst,pagar
7605,beende,saída
7606,fehlst,senhorita
7607,vornehmen,faço
7608,sumpf,pântano
7609,apotheke,farmacia
7610,internationale,internacional
7611,liefert,fornece
7612,wehen,soprar
7613,bastarde,bastarde
7614,erstochen,esfaqueado
7615,schiffes,enviar
7616,manuel,Manuel
7617,nördlich,norte
7618,american,americano
7619,körpers,corpo
7620,schal,cachecol
7621,anklagen,acusar
7622,schlagt,bater
7623,entscheidest,decidir
7624,sammelt,Recolhemos
7625,gegenzug,Retorna
7626,vorzubereiten,preparar
7627,enttäuschung,desapontamento
7628,unterkunft,alojamento
7629,freilassen,libertar
7630,grau,grau
7631,hunt,caçada
7632,verlobter,noiva
7633,niere,rim
7634,kratzen,"coçar, arranhão"
7635,altar,altar
7636,erstaunt,maravilhado
7637,d.c.,de corrente contínua
7638,ausbruch,surto
7639,tuch,pano
7640,fahne,bandeira
7641,beleidigung,insulto
7642,bedeutete,significou
7643,verhält,comporte-se
7644,unheimliche,estranho
7645,unsterblich,imortal
7646,hohes,Alto
7647,evakuieren,evacuar
7648,produziert,produzido
7649,nachfolger,sucessor
7650,blicke,olhar
7651,vorschläge,propostas
7652,chauffeur,motorista
7653,englische,inglês
7654,ironie,ironia
7655,ausreichend,suficiente
7656,hit,acertar
7657,anderthalb,um e meio
7658,erlösung,salvação
7659,käfer,Besouro
7660,küsschen,bicada
7661,eugene,Eugene
7662,auslöschen,apagar
7663,ihretwegen,por causa deles
7664,limonade,limonada
7665,hedley,Hedley
7666,billige,barato
7667,tequila,tequila
7668,schlachtfeld,campo de batalha
7669,knight,Cavaleiro
7670,gemäß,de acordo com
7671,angreifer,atacante
7672,hingegangen,perdido
7673,dns,dns
7674,zero,zero
7675,liefen,caminhou
7676,schale,tigela
7677,restaurants,restaurantes
7678,ausfindig,achar
7679,mills,moinhos
7680,angriffe,ataques
7681,rotes,vermelho
7682,percy,Percy
7683,modernen,moderno
7684,motto,lema
7685,eintritt,entrada
7686,bh,bh
7687,betroffen,afetado
7688,misstrauisch,desconfiado
7689,verwirrend,confundindo
7690,kapelle,capela
7691,starkes,Forte
7692,brick,tijolo
7693,gebetet,orou
7694,einrichten,configurar
7695,ausnutzen,explorar
7696,kinn,Fora
7697,frisches,fresco
7698,quatschen,tagarelice
7699,automatisch,automaticamente
7700,chad,Chade
7701,körperverletzung,mutilação
7702,spritzen,salpico
7703,einwohner,população
7704,renn,raça
7705,pink,cor de rosa
7706,chen,chen
7707,gezeichnet,retirou
7708,anständige,decente
7709,steif,rígido
7710,rekord,registro
7711,durchgeknallt,louco
7712,foltern,tortura
7713,erspart,Salve 
7714,kuba,cúpula
7715,bräuchten,precisaria
7716,überdosis,overdose
7717,armband,pulseira
7718,bert,bert
7719,adoptiert,adotado
7720,komplizen,cumplicidade
7721,ehemaligen,antigo
7722,department,departamento
7723,einschalten,ligar
7724,handschrift,caligrafia
7725,ältesten,mais velho
7726,assistenten,assistentes
7727,großartigen,excelente
7728,männlich,Masculino
7729,übernimmst,assumir
7730,übrigen,outro
7731,klaviermusik,música de piano
7732,ash,cinzas
7733,viktor,Vencedor
7734,judith,Judith
7735,gemietet,alugado
7736,mischung,mistura
7737,luxus,luxo
7738,schwung,ímpeto
7739,vicky,Vicky
7740,hochgehen,suba
7741,wegtreten,wegtreten
7742,stargate,stargate
7743,carlo,Charles
7744,beherrscht,controlada
7745,grippe,gripe
7746,informanten,informantes
7747,mm-hmm,mm-hmm
7748,hülle,Concha
7749,side,lateral
7750,floh,escapado
7751,kit,estojo
7752,fitz,fitz
7753,nudeln,Macarrão
7754,schaf,ovelha
7755,uhrzeit,hora do dia
7756,zigarre,charuto
7757,tänzerin,dançarino
7758,einkaufszentrum,Centro de compras
7759,vollmond,lua cheia
7760,mexikaner,mexicano
7761,piepst,piepst
7762,gestoppt,parado
7763,gray,cinza
7764,eingerichtet,mobiliado
7765,umarmung,abraço
7766,rohr,tubo
7767,batterien,baterias
7768,ella,ela
7769,spende,doação
7770,julius,Julius
7771,mumm,Mumm
7772,gans,Ganso
7773,leuchten,brilhar
7774,alien,estrangeiro
7775,dom,julgamento
7776,geriet,veio
7777,unterzeichnet,assinado
7778,operationen,operações
7779,schütteln,sacudir
7780,vermissten,ausência de
7781,angespannt,tenso
7782,folgenden,Segue
7783,fantastische,excelente
7784,fies,desagradável
7785,warp,urdidura
7786,heilt,inteira
7787,auswirkungen,efeito
7788,geschlecht,Gênero sexual
7789,buchhalter,Contador
7790,drache,Dragão
7791,computerlogbuch,computerlogbuch
7792,deuten,interpretar
7793,bildung,Educação
7794,aufbewahrt,mantido
7795,persönlicher,pessoal
7796,erpresst,chantageado
7797,sang,para
7798,hinbringen,levantar a questão
7799,amerikanischer,americano
7800,üble,mau
7801,einfaches,simples
7802,angesetzt,reconhecido
7803,mmm,mmm
7804,hudson,Hudson
7805,josef,Josef
7806,reagan,Reagan
7807,volltreffer,alvo
7808,jonah,Jonas
7809,totaler,total
7810,robinson,Robinson
7811,zustößt,acontece
7812,herrschaft,regra
7813,verhören,interrogar
7814,unverzüglich,imediatamente
7815,christina,Christina
7816,bemüht,esforço
7817,aufgefunden,encontrado
7818,unfähig,impossível
7819,stellten,destaque
7820,mi,mim
7821,ursprünglich,originalmente
7822,distanz,distância
7823,rufus,rufus
7824,verheimlichen,esconder
7825,verstorben,morto
7826,göttern,Deuses
7827,hunden,o cachorro
7828,letztens,recentemente
7829,jasper,jaspe
7830,napoleon,napoleão
7831,joshua,Joshua
7832,billigen,aprovar
7833,verschont,poupados
7834,rendezvous,encontro
7835,empfehlung,recomendação
7836,handgelenk,pulso
7837,boten,barcos
7838,unterzeichnen,placa
7839,belasten,onerar
7840,speziellen,especial
7841,literatur,literatura
7842,landete,pousado
7843,gelangt,alcances
7844,cooler,resfriador
7845,quer,quer
7846,satelliten,satélite
7847,triff,Conheçer
7848,analysieren,analisar
7849,zuhälter,cafetão
7850,zutiefst,profundamente
7851,geleitet,Directed
7852,schlachten,açougueiro
7853,angestellte,empregado
7854,gestalten,forma
7855,köpfen,decapitar
7856,stipendium,Bolsa
7857,illegale,ilegal
7858,vergiften,Poção
7859,here,aqui
7860,feiert,comemora
7861,bewundern,admirar
7862,herbert,Herbert
7863,furchtbaren,temeroso
7864,hüfte,quadril
7865,involviert,envolver
7866,wurf,lançar
7867,maschinenraum,sala de máquinas
7868,inspiration,inspiração
7869,ohio,Ohio
7870,samen,juntos
7871,hinterhalt,emboscada
7872,gewahrsam,custódia
7873,schweres,pesado
7874,einatmen,respirar
7875,zurückhalten,conter
7876,schlampen,ser desleixado
7877,parfüm,perfume
7878,präsidentin,presidenta
7879,abe,abe
7880,entlassung,demissão
7881,todesstrafe,pena de morte
7882,ausgebrochen,irrompeu
7883,wegfahren,carro
7884,sultan,sultão
7885,hauch,baforada
7886,abstellen,Desligado
7887,pornos,pornos
7888,erklärte,explicado
7889,produzieren,para produzir
7890,müller,moleiro
7891,gehängt,enforcado
7892,weinte,chorou
7893,routine,rotina
7894,merci,obrigada
7895,nellie,nellie
7896,xander,xander
7897,schneid,corte
7898,kluge,esperto
7899,heart,coração
7900,ländern,países
7901,bevorzuge,preferir
7902,ctu,CTU
7903,umkreis,perímetro
7904,beschwerden,queixas
7905,teufels,diabo
7906,brooke,Brooke
7907,genehmigt,aprovado
7908,bildern,imagens
7909,scheißen,merda
7910,schenkte,deram
7911,erschlagen,Arrasar
7912,irland,Irlanda
7913,yard,Jardim
7914,journalisten,jornalistas
7915,fände,encontraria
7916,zurückkomme,volte
7917,ärmel,manga
7918,fließen,fluxo
7919,arabisch,árabe
7920,verfolge,Segue
7921,juckt,Pruriginoso
7922,männliche,Masculino
7923,klingonen,klingonen
7924,zerrissen,rasgado
7925,tausch,intercâmbio
7926,schlaganfall,acidente vascular encefálico
7927,johannes,John
7928,popcorn,Pipoca
7929,gärtner,jardineiro
7930,bläst,sopra
7931,jet,jato
7932,chester,chester
7933,garantie,garantia
7934,ändere,mudança
7935,jessie,Jessie
7936,anstand,decência
7937,power,potência
7938,junkie,drogado
7939,vati,watts
7940,topf,Panela
7941,packe,pacote
7942,knöpfe,botões
7943,aussehe,olhar
7944,verabschiedet,adotado
7945,bedürfnis,desejo
7946,nähen,costurar
7947,sprecher,alto falante
7948,chemie,química
7949,hinweisen,Clues
7950,stumm,mudo
7951,zusammenhalten,ficar juntinhos
7952,geradezu,quase
7953,mitzunehmen,levar
7954,weite,largura
7955,lori,Lori
7956,rippen,costela
7957,kühl,legal
7958,dahinten,ali atrás
7959,techniker,técnico
7960,abel,abel
7961,betet,rezar
7962,beachten,Nota
7963,baute,construído
7964,bonjour,Olá
7965,schecks,Verificações
7966,ausgabe,resultado
7967,boyd,Boyd
7968,vermasseln,estragar
7969,nötige,necessário
7970,südlich,sulista
7971,gramm,grama
7972,laken,laken
7973,bildet,foto
7974,bewahre,cuidado
7975,leises,pouco
7976,g.,g.
7977,lastwagen,caminhão
7978,kritik,crítica
7979,stürzte,caiu
7980,behält,reservas
7981,sofern,forneceu
7982,vermisste,ausência de
7983,entsetzlich,Terrível
7984,francine,francine
7985,ermittler,investigador
