Alemão,de-pt,Polonês,pl-pt
auszudrücken,expressar,powtarzasz,repita
fußboden,piso,chcąc,querendo
gemeiner,meaner,bożego,Deus
ernten,Colher,ładunki,cargas
imstande,capaz,znaków,personagens
erfolgt,ele segue,porwany,seqüestrado
wahrhaftig,mesmo,fi,fi
besessenheit,obsessão,przyszłością,o futuro
schämt,envergonhado,skrzyni,peito
zurückgegeben,devolvida,odrzucić,rejeitado
lanze,lança,gapić,bocejar
erleichtern,facilitar,puszki,latas
springs,molas,któraś,ou
stiefmutter,madrasta,pogarsza,piora
verein,sociedade,równa,igual
yakuza,yakuza,hans,hans
nichtmal,nem mesmo,dziwną,chance
comics,histórias em quadrinhos,czułaś,você sente
three,três,niszczyć,destruir
metapher,metáfora,spłukany,enxaguado
aufgeht,sobe,podatków,impostos
maximal,máximo,utrzyma,Prosseguir
starr,rígido,sprawdzają,eles estão verificando
friss,friss,pomyślmy,acho
gehirns,cérebro,karate,karatê
aufreißen,rasgar,stanowisku,posição
lost,perdido,oddamy,nós damos
razzia,invasão policial,bierzmy,vamos
hellseher,clarividente,chłopcami,Rapazes
putzfrau,faxineira,cruz,cruz
wohlstand,prosperidade,dorwiemy,Nós conseguiremos
beatrice,Beatrice,wypił,bebido
alberto,alberto,przywiozłem,eu trouxe
holten,desatualizado,urodzi,aniversário
spitzen,afiado,skrzydło,ASA
poltern,discurso retórico,uzależniony,viciado
erfreuen,deleite,patrzyła,assistiu
daryl,Daryl,hyde,hyde
lunch,almoço,kochali,amar
tattoos,tatuagens,zadziwiające,notável
bordell,bordel,naciśnij,Aperte
unterdrücken,suprimir,kosztem,ao custo de
connecticut,Connecticut,nazwali,eles chamaram
please,por favor,jezusie,Jesus
straftat,infração penal,oskarżonego,acusado
aktuelle,atual,wysłano,enviado
dolly,boneca,buzz,o zumbido
entzückt,emocionados,wnętrze,interior
unterbrechung,interrupção,oszustwa,fraude
knox,Knox,czekolady,chocolate
kochst,cozinheiro,rozmawiałyśmy,nós conversamos
zugeschlagen,Slammed,łatwością,facilidade
schülern,estudantes escolares,pedro,Pedro
darren,Darren,uwielbiasz,amar
ethel,Ethel,nerwów,nervo
gebrauch,usar,kid,criança
gewehrt,resistiu,podróże,viagens
base,base,yorku,Iorque
räum,cavidades,student,aluna
köpfchen,miolos,straże,guardas
ruhigen,quieto,wybierzesz,você vai escolher
weck,acordar,porwana,seqüestrado
anhört,sons,zamknięcie,fechar
zusammenleben,Vivendo juntos,planują,plano
durcheinandergerede,Gerede confuso,pojechaliśmy,nós fomos
o.,O.,załatwisz,pode resolver
flynn,Flynn,francja,França
bevorzugt,prefere,wojskowe,militares
horror,Horror,milcz,silencioso
dominic,Dominic,czytania,leitura
krug,jarro,zima,inverno
imitiert,imitado,musiałbyś,Voce tem que
friedens,Paz,toku,progresso
tick,Marcação,ukryciu,segredo
spurlos,que não deixa vestígios,zasadniczo,fundamentalmente
mitgekommen,venha comigo,wypadki,acidentes
reserve,reserva,poprosisz,você pergunta
abbekommen,para obter,harriet,Harriet
wagner,wagner,kazać,pregar
gardner,jardineiro,zatrzymywać,Pare
langweilt,entediado,piesku,canino
benji,benji,spaghetti,Espaguete
kaisers,imperador,zagadka,quebra-cabeça
norris,norris,delhi,Délhi
schnelles,velozes,gwiazdami,as estrelas
kolonien,colônias,fundacji,Fundação
errichtet,construído,przyjęć,admissões
mentor,mentor,przyciąga,atrai
blues,blues,odcinkach,Seções
durchbrechen,avanço,wizytówkę,cartão de visitas
orson,Orson,hitlera,Hitler
grüner,verde,rupii,rúpias
lucie,lucie,przenigdy,sempre
unzufrieden,insatisfeito,jabłka,maçãs
beschämt,envergonhado,istocie,De fato
lästig,enfadonho,pop,pop
spind,armário,brama,portão
übernachtet,passou a noite,strażnikiem,guardião
spanischen,espanhol,znajduję,eu acho
definition,definição,najczęściej,geralmente
unordnung,desordem,dochodzenia,investigação
yuri,yuri,zdumiewające,surpreendente
mittendrin,no meio,stałaś,você se tornou
optimistisch,otimista,mądrości,sabedoria
sekte,facção,pomyślisz,acho
vergewaltiger,estuprador,alpha40,alpha40
geschockt,chocado,talentu,talento
gracie,gracie,strzelanina,fenda
mikro,micro,dobroci,bondade
verbrochen,feito de errado,seksualnie,sexualmente
stünde,seria,brakować,estar ausente
beschlagnahmt,confiscados,matematyki,matemática
madeleine,madeleine,różnymi,diferente
einzelhaft,prisão em solitária,kongu,kong
bug,arco,johnem,John
italienischen,italiano,przeszukania,procurar
frederick,Frederick,wytłumacz,explicar
löste,resolvido,wyzdrowieje,recuperar
apachen,Apache,zabronione,Proibido
spezialisten,especialistas,obiecałaś,você prometeu
nazi,nazista,mieszkałem,eu vivi
tapferkeit,bravura,wystarczą,o suficiente
zutaten,ingredientes,wykluczone,excluídos
unsichtbare,invisível,przestało,cessado
zurückgerufen,lembrou,wierzycie,você acredita
samstagabend,sábado à noite,śmieją,rindo
unverständliches,incompreensível,lwa,leão
pesos,pesos,amerykańska,americano
ursprünglichen,original,pokazałem,Eu mostrei
sol,Sol,zawołam,Eu chamo
resultate,resultados,ścieżką,caminho
r.,r.,pieśń,música
alexis,alexis,zdecydowałeś,você decide
sende,enviar,reklamę,anúncio
klientin,cliente,przetrwania,sobrevivência
sympathisch,compreensivo,odbywa,feito
verwöhnt,estragado,kanale,canal
schiffs,à ré,judith,Judith
langweile,entediado,dostawy,Entrega
bekanntschaft,conhecimento,samochodowym,carro
joggen,para jog,sukience,vestido
rettest,rettest,trawy,Relva
träger,operadora,chwyć,pegar
finanziell,financeiramente,znanych,conhecido
depressionen,depressões,woody,arborizado
weitergeben,passar,kalifornia,Califórnia
schnecke,lesma,pacjentka,paciente
gedruckt,impresso,kupiliśmy,Nós compramos
feindlichen,inimigo,śmieszna,engraçado
rinder,bovino,zadaję,eu pergunto
waisen,órfãos,uzbrojeni,armado
chemische,Seco,głupcy,tolos
baust,Construir,boju,batalha
getraut,casado,about,cerca de
zünder,fusível,mówiono,contou
lachte,rindo,zaproszony,convidamos
haarschnitt,corte de cabelo,chrisa,Chris
schneewittchen,Branca de Neve,chemii,química
gerry,Gerry,zatrzymaliśmy,Nós paramos
enten,patos,specjalnej,especial
pariser,parisiense,pogotowiu,pronto
einmalig,único,myliłam,Eu estava errado
vergeudet,desperdiçada,rozpoczyna,começa
tomas,tomas,pióro,pena
depressiv,depressivo,szczególności,especial
comandante,comandante,ludzkim,humano
eingebrockt,eingebrockt,przegrałem,eu perdi
schreibmaschine,máquina de escrever,wyjaśnisz,explicar
selig,abençoado,prześpij,durma um pouco
entgangen,escapado,obiecuje,promessas
gelohnt,valor,valerie,Valerie
notizbuch,Caderno,pachniesz,cheiro
wechselgeld,mudança,val,val
starrst,olhar fixamente,pomarańczowy,laranja
z.,z.,łączą,combinar
obdachlosen,morador de rua,niepokojące,alarmante
göttliche,divino,muru,parede
überlebte,sobreviveram,oknem,janela
merkwürdiges,estranho,barbie,Barbie
frankreichs,França,zapomnieli,esquecido
entziehen,revogar,oferuje,ofertas
jacks,jacks,niepokój,ansiedade
gefällst,apraz,powitać,saudar
hupe,buzina,poprawnie,correto
festland,Continente,spodziewałeś,você espera
rückgrat,espinha dorsal,sherry,xerez
schmuggeln,contrabandear,dokładny,exato
knoblauch,alho,prokuratorem,promotor
mörders,assassino,twa,twa
motoren,motores,turniej,torneio
korridor,corredor,ulicą,rua
sugar,açúcar,doradcą,conselheiro
countdown,contagem regressiva,ka,cada
socke,meia,przyjęłam,eu aceitei
bettler,mendigo,umarłem,eu morri
signore,signore,dożywocie,anuidade
russe,russo,sejfu,seguro
forge,forja,rozpoznał,reconhecido
lopez,lopez,karma,carma
salut,saudação,simona,simona
ausfallen,falhou,bajzel,bordel
zeh,dedo do pé,zdrady,traição
freud,Freud,towarzyszyć,acompanhar
äußeren,exterior,napęd,dirigir
grausame,cruelmente,krajem,país
cooles,legal,wymyśl,invenção
bakterien,bactérias,poćwiczyć,exercício
olsen,Olsen,pozytywnie,positivamente
feindes,inimigo,wróciły,devolvida
rezeption,recepção,złożę,depósito
erreichte,alcançado,zdobyłeś,você ganhou
dreizehn,Treze,odbicie,reflexão
paolo,paolo,staliśmy,temos
anflug,aproximação,słodkich,doce
penelope,Penélope,pisanie,escrevendo
sogenannten,chamado,historyjkę,história
verschwendest,desperdício,szachy,xadrez
donny,donny,kira,kira
zulassung,admissão,rewolucja,revolução
abtreibung,aborto,kopii,cópia de
planung,planejamento,s.,p.
territorium,território,brednie,lengalenga
pope,padre,cezar,César
portemonnaie,Carteira,wysłany,enviou
affengeräusche,macaco ruídos,rzuci,lançar
improvisieren,improvisar,szósty,sexto
reinzukommen,Entrem,edith,Edith
tanken,reabastecer,kredytową,crédito
einschüchtern,intimidar,koktajl,coquetel
explodierte,explodiu,niełatwo,díficil
schleife,ciclo,klątwę,xingamento
berechnen,calcular,zagraża,ameaça
befördern,carregar,świadoma,consciente
newton,Newton,złożyłem,Eu fiz
aufgespürt,monitorados,domowa,casa
streicheln,acidente vascular encefálico,długiej,longo
speer,lança,zawiadomić,notificar
reaktionen,reações,podajcie,Dar
maxwell,Maxwell,wariactwo,loucura
director,diretor,traktuj,tratar
erhöhe,aumentando,wspominała,lembrou
hinteren,traseira,truciznę,Poção
zusammengearbeitet,Colaborou,żądania,funciona
hanson,Hanson,funduszy,fundos
geschweige,deixei,piją,bebida
puff,sopro,obecna,presente
dämlicher,estúpido,elementy,Itens
ablauf,procedimento,zagrożone,ameaçadas de extinção
rollt,rolos,właściwa,direita
mikrofon,microfone,niebieska,azul
verwundeten,feridos,pakuj,pacote
aufgewühlt,agitado,systemów,sistemas
luftwaffe,força do ar,barb,farpa
wiese,Prado,odwiedziny,Visita
beschissenes,maldito,zrozumienie,entendimento
verkleidung,painéis,potrzebowaliśmy,Nos precisamos
scarlett,Scarlett,zainteresowani,interessado
intensivstation,unidade de Tratamento Intensivo,zagrajmy,vamos jogar
schlinge,ciclo,zaklęcia,encantamentos
mahlzeiten,refeições,zawodach,concorrência
list,estratagema,nodze,perna
handvoll,mão-cheia de,torres,torres
lehnte,rejeitado,wierny,fiel
stärksten,maioria,czeki,Verificações
beweisstück,evidência,podejrzewać,suspeito
pretty,bonito,popływać,nadar
einzigartige,único,znając,conhecimento
gehirne,miolos,zdejmę,eu vou levar
pfeffer,Pimenta,naukowiec,cientista
nachgeben,desistir,niemiecki,alemão
pittsburgh,Pittsburgh,byliby,seria
stadium,etapa,znaczeniu,significado
stritten,lutou,spóźniłem,atrasado
stau,engarrafamento,bułka,rolar
unsterblichkeit,imortalidade,władcy,governantes
karev,Karev,zmienią,mudança
ginny,ginny,modlitwę,oração
wiehern,relinchar,point,ponto
erkenntnis,Entendimento,oznak,sinais de
erweckt,trouxeram,gadka,bate-papo
kategorie,categoria,krwotok,hemorragia
überwältigend,muito pesado,uciekajmy,fugir
underwood,vegetação rasteira,sukinsyna,Filho da puta
neelix,Neelix,złapałeś,você pegou
explosionen,explosões,trzej,três
telefonzelle,cabine de telefone,domowy,casa
plaza,praça,grilla,grade
verschließen,fechar,miłych,legais
angesagt,"quadril, na moda, popular",specjalnym,especial
western,filmes de Velho Oeste,brudną,sujo
absatz,parágrafo,stycznia,Janeiro
beschreibt,descreve,zazdrości,ciúmes
lern,Aprendendo,wojskowym,militares
main,Principal,przybywa,chega
lehne,resto,upadła,caiu
easy,fácil,wioskę,Vila
buße,ônibus,wyjazdem,partida
fehlende,ausência de,przybyłeś,você vem
anständigen,decente,przywieźć,trazer
häufiger,freqüentemente,godne,valioso
buh,vaia,bunt,rebelião
anfängst,começar,dzisiejsza,hoje
fandest,disse,roll,rolar
jaja,Sim Sim,zdradzę,Digo
giftig,tóxico,drobny,pequena
rausch,intoxicação,doprowadził,liderar
jarvis,Jarvis,odkryłam,Eu descobri
hochwürden,reverendo,wszystkiemu,tudo
schnecken,caramujos,asystentem,assistente
einheimischen,nativo,osiągnięcia,realizações
unmögliche,impossível,torebce,Bolsa
weaver,tecelão,cross,cruzar
freilassung,lançamento,federalnych,Federal
sonderbar,estranho,kredytowej,crédito
fassade,fachada,przerażający,assustador
scharfschützen,sharpshooters,moon,lua
anfrage,investigação,zapytałam,Perguntei
bewegte,em movimento,porcie,porta
ex-mann,ex-mann,carlton,Carlton
fotografen,fotógrafos,zapasów,inventário
monika,Monika,prowadziła,liderar
cardassianer,Cardassians,cesarz,imperador
solide,sólido,lalka,boneca
ansiehst,Olhe para a,biegu,curso
freitagabend,sexta-feira à noite,runda,Redondo
legten,submetido,skradzione,roubado
klatsch,fofoca,trwała,permanente
dewey,Dewey,spędzisz,você gasta
schicksals,destino,użyła,ela usou
hartnäckig,obstinadamente,spotykają,Conheçer
bars,bares,planowałem,eu planeei
paddy,Paddy,różnice,diferenças
sofortige,imediato,przyszłego,o futuro
küstenwache,guarda Costeira,oszukiwać,trair
entsetzt,horrorizado,ukochaną,amor
moe,moe,kopa,chute
edle,nobre,licz,contar
unbemerkt,despercebido,płacimy,pagar
religiöse,religioso,złamie,intervalo
scheiben,fatias,tematem,tema
plänen,planos,paskudne,feio
schleifen,moer,wiedzieliście,você sabe
wundervoller,Maravilhoso,wpłynie,afetar
mozart,mozart,wschodnim,leste
shelly,cheio de conchas,zaczynałem,eu comecei
deprimierend,deprimente,przełom,vez
onkels,tio,burzę,tempestades
jade,jade,autostradzie,rodovia
pol,pólo,podwójny,em dobro
bedankt,obrigado,dziewczynek,garotas
fi,fi,publicznych,público
harmonie,harmonia,spędzę,eu gasto
alexandra,alexandra,odczyty,leituras
jacqueline,Jacqueline,medyczną,médico
kelch,cálice,polowania,Caçando
reddington,Reddington,sektorze,setor
hüter,guardião,przecznic,blocos
jetzigen,presente,herkulesie,Hércules
buchen,livro,keller,keller
leiste,faixa,opuścisz,sair
dee,dee,sypialnia,quarto
aufgeklärt,esclarecido,ostateczny,final
kurzes,baixo,brady,brady
außenministerium,Departamento de Estado,umrą,morrer
wheeler,carpinteiro de rodas,dobrać,escolher
adios,adios,zakończeniu,realização
arrest,detenção,zagubiona,perdido
oxford,oxford,podejrzeń,suspeitas
lebensform,forma de vida,nieszczęśliwa,infeliz
clint,Clint,krąży,circula
anfasst,comovente,archie,Archie
veranstaltet,organizado,sądze,penso assim
umstellt,cercado,funkcjonariusz,Policial
bezieht,refere,moczu,urina
besetzung,ocupação,projektem,projeto
murdock,Murdock,cholernej,sangrento
cut,cortar,miec,ter
kriminell,Criminoso,spalił,queimado
praktikum,estágio,kostkę,tornozelo
grossen,imenso,wyglądały,visto
angebote,ofertas,podpiszę,placa
märtyrer,mártir,zdań,frases
blutest,sangramento,gardle,garganta
anfange,começar,zimy,inverno
kick,chute,zakochani,amantes
paß,Passaporte,cudowną,Maravilhoso
bogg,bogg,bond,ligação
tapferen,corajoso,częstotliwość,frequência
haupt,cabeça,ataków,ataques
nachtschicht,turno da noite,ścieżka,caminho
gebrochene,quebrado,promieniowania,radiação
klebeband,fita adesiva,gavin,Gavin
metzger,açougueiro,ujrzałem,eu vi
marlene,marlene,mapie,mapa
gewöhnlichen,comum,tabletek,tablets
umarme,abraço,zwykłych,comum
philipp,Filipinas,poród,parto
leistungen,Serviços,kolczyki,brincos
dankt,obrigado,kasą,caixa registradora
fitzgerald,Fitzgerald,szefowa,cabeça
lesben,lésbica,wrócicie,volte
ehering,anel de noivado,najważniejszą,o mais importante
uno,UN,square,quadrado
strauss,avestruz,sookie,sookie
großbritannien,Grã Bretanha,kumam,pegue
armeen,exércitos,rządzisz,você governar
aufsehen,olho para cima,godność,dignidade
heu,feno,wadze,peso
schwarm,enxame,śpiewał,cantou
ziemlicher,quase,marnie,miseravelmente
eule,Coruja,bernard,bernard
mitteilung,Mensagem,indie,Índia
aufgerissen,rasgado,sąsiada,vizinho
sätze,frases,zasłony,cortinas
gottverdammten,Maldito,przepraszaj,Desculpe
gelockt,encaracolado,secret,segredo
erwägung,consideração,tenisa,tênis
langsame,lento,prawdziwymi,real
keen,ansioso,głupiej,Insensato
gunst,Favor,schmidt,schmidt
bann,feitiço,podziękowania,obrigado
leichenschauhaus,necrotério,poświęcił,devotado
widersetzen,opor,trudy,dificuldades
geflüchtet,fugiu,rzućcie,sorteio
therapeut,terapeuta,tygrys,tigre
abdrücken,fogo,dotychczas,ainda
hingehst,irias,nieznany,desconhecido
lokale,local,lewe,a esquerda
edlen,nobre,kaczki,patos
dialog,diálogo,starymi,velho
kaputte,quebrado,spowodowane,causado
susanne,Susanne,strategię,estratégia
tokyo,Tóquio,czarujący,encantador
lordschaft,senhoria,przeprowadził,conduzida
zuhört,audição,lęk,arco
finanziellen,financeiro,zwalniam,Eu libero
camelot,camelot,wysokiego,Alto
bäckerei,padaria,zakłada,assume
gehauen,esculpida,zakochać,se apaixonar
ziemliche,bastante,brałeś,você pegou
bronx,Bronx,dzwoniłaś,você chamou
originell,original,śniło,sonhou
sicherheitssystem,sistema de segurança,sportu,Esportes
elektronische,eletrônico,sutton,Sutton
twilight,crepúsculo,otworzyła,aberto
glaubens,fé,burmistrzu,prefeito
charlene,charlene,drobiazg,bagatela
nahezu,aproximadamente,otrzymasz,tu recebes
sichtkontakt,ver contato,ciasno,hermeticamente
strafen,Punir,wzrokiem,visão
gehorsam,obediência,pilnie,diligentemente
sportler,atleta,north,norte
mutiger,corajoso,pączki,Donuts
becker,becker,polityce,política
det,det,prochu,pó
saga,saga,kwas,ácido
ski,esqui,zapowiada,Anuncia
entgeht,escapes,spiesz,Sem pressa
abläuft,expira,prochów,drogas
timothy,Timothy,juliet,juliet
beschwingte,otimista,zaprasza,Convites
lindsay,lindsay,związać,laço
aufklärung,iluminação,rodzinnym,família
phantastisch,fantástico,ptaszek,pássaro
zane,zane,umiejętność,habilidade
eigen,ter,alexis,alexis
haven,refúgio,podobieństwo,semelhança
gracias,gracias,zabici,assassinado
justine,justine,strzelajcie,atirar
blonden,Loiras,szybkiego,rapidamente
kobra,cobra,american,americano
beantragen,candidatar-se a,bali,temido
muscheln,Marisco,telegram,telegrama
spot,comercial,kotów,gatos
bewerbung,canditature,loterii,loteria
biologische,biológico,kciuki,polegares
raffiniert,refinado,wyobraźnia,imaginação
protest,protesto,woła,vontade
texte,texte,odegrać,Toque
kapiere,kapiere,odprowadzić,escolta
linus,Linus,her,sua
panne,demolir,zakończył,finalizado
willens,disposto,ręczniki,toalhas
argentinien,Argentina,wdzięczności,obrigado
bissen,morder,rozejść,para dispersar
abbiegen,vez,budzić,acordar
harbor,Porto,przeszłaś,Você passou por
fernen,distante,cofnijcie,ficar para trás
versäumt,fracassado,chorzy,doente
frühe,cedo,zaatakuje,ataque
rohre,tubo,pociągnij,puxar
packte,agarrou,oznaczało,significou
zeitmaschine,máquina do tempo,naprzeciw,oposto
weiterzumachen,Prosseguir,niewinne,inocente
beiß,morder,poczty,correspondência
kleinsten,menor,toaleta,toalete
verzögerung,atraso,sumę,soma
sprit,espírito,czołem,testa
initialen,iniciais,tani,barato
ansprache,Fala,włożył,por
recherchiert,pesquisado,alpha,alfa
malley,malley,much,moscas
erfuhren,aprendido,heroiny,de heroína
ja.,sim.,dzielnica,distrito
zahlte,pago,wypadków,acidentes
eingebaut,construídas em,kodeks,código
offener,abrir,wypadkiem,acidente
geheimnisvoll,misteriosamente,kompletny,completo
geschöpf,criatura,calvin,calvin
unangebracht,inapropriado,mówie,eu digo
schlüsse,combinações,zmierzamy,indo
eingefangen,capturada,wdzięczność,gratidão
halts,paradas,dostawa,fornecer
bewährungshelfer,ajudante liberdade condicional,dachem,cobertura
folgten,seguido,zawiodę,falhou
erhebe,erguer,pragną,desejar
brenner,queimador,zamierzał,indo
surfen,surfe,konsekwencji,as consequências
hintergehen,enganar,obecnej,atual
hörner,chifres,skradziono,roubado
fürchtest,temer,dotknął,ele tocou
reaktor,reator,bohaterowie,Heróis
run,corre,dumy,orgulho
zweieinhalb,dois e meio,mniejszy,menos
gebrochenen,quebrado,sugar,açúcar
ansage,anúncio,zakupów,Shopping
kompromiss,Compromisso,przedyskutować,discutir
abzeichen,distintivo,whitney,Whitney
mehrfach,múltiplo,kłamałem,eu menti
dolores,dolores,zmieniasz,mudança
cox,cox,sąsiedztwie,vizinhança
zielt,mira,zdrowiu,saúde
vorlesung,palestra,pal,pilha
gesamtes,geral,wkurzyć,não me chateies
berechnet,calculado,apollo,Apolo
römische,romano,profilu,perfil
auffällig,vistoso,zaliczyć,incluído
lenkrad,volante,ohydne,nojento
engagement,noivado,nieustannie,continuamente
amerikanerin,americano,zabijcie,mate
harlem,harlem,zagraj,Toque
jose,Jose,pułapki,armadilha
chakotay,Chakotay,zapłacili,eles pagaram
fernzuhalten,guarda,wyjmij,retirar
gründer,fundador,pomylić,erro
technischen,técnico,krem,creme
hassan,Hassan,robotą,trabalho
eingeweide,estômago,bawiłam,eu joguei
verschickt,enviado,tiffany,Tiffany
studierte,estudou,spotkałaś,conheceu
industrie,Indústria,zbudowany,construído
frühjahr,Primavera,wybrzeże,costa
heiligabend,Noite de Natal,potężna,poderoso
stellvertreter,deputado,dumę,orgulho
unvorstellbar,inconcebivelmente,szkolny,escola
sichert,Protege,spojrzenia,olhar
scheißt,jogo de dados,rene,rene
space,espaço,skłonny,disposto
zweifle,dúvida,prywatność,privacidade
verbrannte,queimado,przeżyjesz,sobreviver
hähnchen,frango,długiego,longo
ren,rena,chować,ocultar
exfrau,ex-mulher,mistrzostwa,campeões
kulturen,culturas,dociera,alcances
ehrgeizig,ambicioso,niecałe,Menor que
anmelden,Entrar,zanieś,trazer
bewegst,jogada,polityczne,político
verschüttet,derramar,wyjątkowym,especial
whirlpool,hidromassagem,francuskiego,francês
atmung,respirando,zamówiłem,Eu pedi
kaltblütig,a sangue frio,dotyczących,sobre
handwerker,artesão,sprzedawał,vendendo
kurse,cursos,cięcia,cortes
griffen,atacado,oczekiwałem,eu esperava
unangenehme,desagradável,odlać,fundida
ausstellen,Exibir,dotrą,alcançar
andernfalls,de outra forma,torze,a pista
sonderlich,particularmente,demonów,demônios
angefühlt,sentiu,przygotował,se preparava
prag,Praga,groźba,ameaça
frösche,rãs,zmarli,morto
herausfand,descobriu,brodę,barba
vega,vega,otworzymy,abrir
vance,Vance,wzrasta,aumenta
zärtlich,macio,bikini,bikini
doe,corça,zapewnia,garantir
jüdischen,judaico,piłeś,bebido
steuerung,ao controle,organów,corpos
zeitschriften,revistas,spali,eles dormiram
verbockt,teimoso,julii,Julieta
gewaltige,formidável,łodzią,barco
genesung,recuperação,zasadami,princípios
auftraggeber,cliente,istotą,ser
wanna,quer,kieszenie,bolsos
abgehört,Bugged,nowość,novidade
oregon,Oregon,zysk,lucro
gecheckt,verificado,ulgę,alívio
zusammenbruch,colapso,zapisane,salvou
beachtet,respeitado,virginia,Virgínia
united,Unidos,umyj,lavagem
cowboys,cowboys,glen,vale estreito
pumpe,bombear,doc,doutor
eagle,Águia,cenie,eu aprecio
logbuch,diário de bordo,pośpieszcie,pressa
irgendwem,alguém,łodzie,barcos
ausgenommen,exceto,widokiem,visualizar
churchill,Churchill,regina,regina
rankommen,rankommen,rozkład,cronograma
relevant,relevante,zawrzeć,concluir
t-shirts,Camisetas,znanym,conhecido
besuchst,Visita,haju,ficar chapado
tiefsten,mais profunda,agresywny,agressivo
einbildung,imaginação,matta,Matta
instabil,instável,spluwę,arma de fogo
fühlten,sentiu,zawiódł,fracassado
hr,Senhor,przygotowanie,preparação
transportiert,transportado,lądowanie,pousar
mönche,monges,bad,mau
lina,lina,klatka,cela
riggs,Riggs,hiszpańsku,espanhol
stacy,Stacy,przestrzegać,observar
beschuss,bombardeamento,serena,Serena
fledermaus,bastão,staję,I Stand
segnen,abençoar,podziękuj,obrigado
stattgefunden,"Lugar, colocar",głąb,profundidade
nell,nell,przodkowie,antepassados
lebeau,Lebeau,uśmiechasz,sorrir
krallen,garra,łaskę,graça
moss,musgo,zamienił,Ele virou
kgb,KGB,błagał,implorou
romantischen,romântico,strasznym,Terrível
blutig,sangrento,zjedzmy,vamos comer
alliierten,Forças aliadas,przygotowana,preparado
mara,mara,kolonii,colônia
oberflächlich,superficial,kalendarz,calendário
sanders,lixadeiras,barman,barman
hicks,Hicks,dodatkową,adicional
ostern,Páscoa,zuch,rapaz
orangensaft,suco de laranja,obietnica,promessa
unbekannter,desconhecido,oficerowie,oficiais
thornton,Thornton,bałaganu,bagunça
ausgerutscht,escorregou,zgadzają,concordar
aurora,aurora,dyskutować,discutir
freundlicher,amigáveis,stracony,perdido
exil,exílio,pracowałaś,você trabalhou
clary,salva moscatável,odpoczynek,resto
blog,blogue,wliczając,Incluindo
schmelzen,fundição,sherman,Sherman
mysteriösen,misterioso,wybierze,escolher
überwunden,superar,wygrałaś,Ganhou
erdbeeren,morangos,marzeniem,Sonhe
ära,era,jednostkę,unidade
eingefroren,congeladas,okaż,espécime
großzügigkeit,generosidade,anton,anton
einreichen,Enviar,zbiornik,tanque
anderswo,em outro lugar,przestałam,eu parei
seinetwegen,por causa dele,opuściłem,Eu deixei
ferguson,ferguson,clara,Clara
zwilling,gêmeo,timmy,Timmy
deppen,idiotas,odwieźć,dirigir
verlangte,pedido,ostrożności,precauções
genf,Genebra,przeklęte,amaldiçoado
trophäe,troféu,niewoli,cativeiro
lucia,lucia,inteligencji,inteligência
wisch,mancha,pożarze,fogo
reduziert,reduzido,zaprosiłeś,você convidou
ernährt,nutrido,odtworzyć,Toque
irgendjemandem,qualquer um,pogłoski,rumores
kaiserin,imperatriz,chirurg,cirurgião
koste,qualquer custo,luis,luis
reiste,viajei,brzydka,feio
lucrezia,lucrezia,queens,rainhas
therapeutin,terapeuta,publicznego,o público
pfanne,frigideira,zastępcą,deputado
komma,vírgula,wojownika,Guerreiro
stillhalten,fique parado,mówmy,vamos conversar
freundlichkeit,afabilidade,odkryli,encontrado
stockholm,Estocolmo,pamiątkę,lembrança
informiere,informando,francuzi,francês
konsul,cônsul,tańczysz,dança
dante,dante,edgar,edgar
gänge,transições,narzędzi,Ferramentas
irgendwen,qualquer um,umówieni,encontro
unerhört,injusto,podobać,gostar
deutlicher,mais claro,rejonie,região
bomber,bombardeiro,leż,mentira
ausgeliehen,emprestado,załamanie,intervalo
drehten,filmagem,samotne,sozinho
prostitution,prostituição,imie,nome
inoffiziell,não oficialmente,lindsey,Lindsey
motherfucker,filho da puta,świeży,fresco
glücklichste,mais feliz,obejmuje,Inclui
erschreckend,assustador,włączając,ligando
isolieren,isolar,kandydatów,candidatos
flugplatz,aeródromo,przejrzałem,Eu olhei através
friedliche,Pacífico,ochotnika,voluntário
lachs,salmão,eddiego,Eddie
furchtbarer,Terrível,przyjęła,adotado
erkältet,capturas,doliny,o Vale
boyle,Boyle,niewiarygodnie,incrivelmente
nadine,nadine,grubą,Grosso
slim,magro,emeryturze,aposentado
angestellter,empregado,odkryła,descoberto
anomalie,anomalia,samuel,samuel
bestimme,determinar,żałujesz,você se arrepende
off,desligado,nieśmiały,tímido
provoziert,provocou,wróciło,devolvida
siehe,consulte,zdoła,poderia
aufbewahren,armazenar,janice,Janice
diamant,diamante,dwójki,dois
herauskommen,sair,alexander,alexander
poster,poster,rodzicem,parente
gräber,escavador,należeć,pertencer
savage,selvagem,farby,pintar
heh,heh,położył,por
jedesmal,toda vez,nieobecność,ausência
bajor,Bajor,skomplikowana,complicado
angepasst,personalizado,chwilowo,temporariamente
strick,corda,suknia,vestido
übertreib,exagerar,edukacji,Educação
schweinchen,porquinho,zjednoczone,Unidos
herbei,causa,klientami,clientes
ahnte,suspeita,religia,religião
dirk,punhal,role,papéis
bewältigen,Lide com,czary,feitiçaria
fläschchen,phial,fantazji,fantasia
sams,sams,początkowo,inicialmente
kotze,vomitar,naprawi,reparar
übt,práticas,poczuję,eu sinto
lupe,lupa,napisałaś,você escreveu
stanford,Stanford,odezwał,ele disse
